,L1,L2,CM_candidates
1131,సూపర్ సినిమాని 2 సార్లు చూసా ❤️సూర్య ఎప్పుడూ బెస్ట్ ఐ లవ్ హిమ్ 😊,Watched  2 times super film❤ ️surya always best I love him 😊,Super film 2 times చూసా ❤ ️surya always best I love him 😊
1813,@impradeepmachi నా నటన డాన్స్ చాలా బాగుంది మేము నిజంగా ఆనందించాము ❤❤,@impradeepmachi You acting dancing good we really enjoyed ❤ ❤,@impradeepmachi Me acting dance chaalaa బాగుండి we really enjoyed ❤ ❤
2762,"@aktarak_ ఓహ్,  ఒక మంచి పానీని మిస్ అయ్యింది 😏","@aktarak_ Ohh, just miss a good work 😏",@aktarak_ Ohh చా ఒక్క మాంచి పాణి జరిగేకి Just Miss 😏
3078,@VavvetiUsha @urs_musically ఎంతా చక్కగా పదరండి పాడారండిఅసలు ... అద్భుతం అంతె ...  కొద్దిసేపు అలా కల్లుముసుకొని హాయ్గా విన్నా  పునరావృత మోడ్ లో,@VavvetiUsha @urs_musically You really sang so beautufully... just wow...for some time I listened to it peacefully in repeat mode,@VavvetiUsha @urs_musically ఎంతా చక్కగా పదరండి అసలు ... just wow అంతె .... కొద్దిసేపు అలా కల్లుముసుకొని హాయ్గా విన్నా repeat మోడల్
461,@srivijji_ అవును ఇంత బాగా ఉంటుంది అని వస్తుందని ఊహించలేదు.... చాలా బాగుంది,"@srivijji_ Yes, didn't expect that it will be this better.... Very good",@srivijji_ అవును expect చెయ్యాల ఇంటే బాగుంటది అని .... చాల chaalaa బాగుండి
1022,మాధవన్ పెద్ద మైనస్ అసలు ఆ దుబ్బింగ్ అయితే చెత్త అసలు, Madhavan was the big minus that dubbing was the worst ,Asalu మాధవన్ was the big minus a dubbing ఐతే worst అసలు
3937,@suman_balusu పసుపు సైన్యానికి చేయి ఇచ్చవ్ గా,@suman_balusu give a hand to the yellow army,@suman_balusu Yellow army ki hand ఇచ్చవ్ ga
4164,@నాగీతిరెడ్డి_ సరే అయ్యా మంచి పని లో ఉన్నటు ఉన్నారు,"@Nageethireddy_ ok sir, I think you are in nice work",@NAGithireddy_ Ok sir మాంచి pani లో ఉన్నటు ఉన్నారు
1845,@Itsallaboutfun1 @Neehasmiles 😂 ఇది నిజమైన సినిమా అన్న మీరు ఇలాంటి సినిమాలను ఆస్వాదించలేకపోతే అది వ్యర్థం,@Itsallaboutfun1 @Neehasmiles 😂 it's true movie is nice bro if you can't enjoy movies like this it's a waste,@Itsallaboutfun1 @Neehasmiles 😂 it 's true Movie చాల భాగంది bro ఇలాంటి సినిమాలని enjoy చెయ్యలేక పోతే వ్యర్థం
3255, @మహేందర్ అమెజాన్ ప్రైమ్‌ లో లేదా,@MAHENDER REDDY Is is not on Amazon prime?,@MAHENDER REDDY Amazon prime లో లేధా
2661,మీకు దీపావళి శుభాకాంక్షలు రవి,Wish you a Happy Diwali Ravi,Wish you a Happy దీపావళి రవి
2832,చివరగా సాయినాథ్ అన్న గొంతు,Sai nath's bro voice finally 💯,Sai nath అన్న voice finally 💯
1816,ఒర్రెయ చెట్టా నా కొడ కా నీ చెట్టు రివ్యూ ఎవడు అడిగాడు ఈ ఛానెల్‌ని నివేదించండి అని అడిగాడు,"Hey, useless fellow you asked your review Please Report this Channel",Orreya chetta na కోడ కా నే చెట్టా Review ఆవాడు అడిగాడు Please Report this Channel
91,విశాల్ కొత్త సినిమా రివ్యూ కావాలి బ్రదర్,Vishal new movie review needed bro,Vishal new movie review కావలి bro
156,సీరి అంటే నాకు అర్థం కాలేదు,I cant understand what siri means,I cant understand that సీరి means
996,తరుణ్ భాస్కర్ రాముల మాత్రం అద్భుతం,Tarun Bhaskar Ramula excellent,Thaarun bhasker రాముల మాత్రం excellent
2065,సూపర్ సూపర్ సినిమా నవీన్ అన్న సూపర్,Super super movie Naveen bro super,Super super movie Naveen అన్నా super
4855,సరైన సమీక్ష. పూర్తి ఫ్లాప్ సినిమా,Correct review. A complete flop movie,Correct review . పక్కా flop movie
224,ఈ బ్రేక్ అప్ సీన్ హాయిగా ఉండదు 🤣 😆 #మహర్షి,This break up scene is not comfortable 🤣 😆 #Maharshi,Ee break up scene ఎంటా హాయిగా ఉండడు 🤣 😆 #Maharshi
752,@AnilTarakian1 తారక్ ఒక సినిమాను తిరస్కరించి మాంచి పని చేసాడు,@AnilTarakian1 Tarak rejected a movie and did good thing,@AnilTarakian1 Tarak అన్న a movie reject చేసి మాంచి pani చేసాడు
3466,@varusarath5 హాయ్ వారు గారు చిత్రం చాలా బాగుంది  👌 💯 👌,@varusarath5 Hi Varu pic is very nice 👌 💯 👌,@varusarath5 హాయ్ వారు గారు pic chaalaa భగుంధి 👌 💯 👌
4876,@VINAY_4212 కులం తో పని లేదు .. మంచి మనసు ఉంటే చాలు .. 😍 😍,@VINAY_4212 nothing to do with caste .. good heat is enough .. 😍 😍,@VINAY_4212 caste తో పాణి లేడు .. manchii manasuna untya చాలు .. 😍 😍
3598,అన్న పూర్తి కథ చెప్పండి. ,Bro tell the full story. ,Bro full story చెప్పండి .
1293," స్పూర్తిదాయకమైన కథ, ఎప్పుడూ వదులుకోవద్దు 🔥 🔥"," What a inspirational story, never ever GIVE UP 🔥 🔥","వాట్టీ inspirational story బా , never ever GIVE UP 🔥 🔥 "
599,కొంచెం తొందర తొందరగా గ చెప్పేసావ్ అన్న,You told litltle fast fastly bro ,Konchem fast fast gaa చెపేసావ్ bro
2218,ఖచ్చితమైన సమీక్ష ఖచ్చితమైన అనుభూతి. ఒక్క వి పెట్టినంత మాత్రాన అర్థం లేదు,Perfect review exact feeling. Okka doesn't make sense just because he put V,Perfect review exact feeling . V అని పెట్టినాడుకేనా okka అర్ధము లేడు
4050,అన్న దయచేసి తదుపరిసారి మీరు రివ్యూ చెప్పకు అన్న .ఒకసారి  నువ్వు నీ సమీక్షించండి చూడండి. ఎం చెపావ్ అన్న . .,Bro please next time you don't say review bro. once see your review. What did you say bro . .,Bro please next time nuv review చెపాకు bro . ఒకసారి nee review నూవ్ చూస్కో . em చెపావ్ bro . .
4736,@Hidderkaran మంచి పని చేశావ్ అన్న 🙏 🙏 నేను చాలా తిన్నాను కానీ అన్నీ మూసేసి 1 సంవత్సరం క్రితం నువ్వు,@Hidderkaran you did good thing bro 🙏 🙏 I suffered a lot but  closed  everythinh 1 year back ,@Hidderkaran మాంచి పాణి చేసావ్ bro 🙏 🙏 నేను చాల దెబ్బల్లా తిన్నా అన్నీ closed 1 year back 
3443,@BleedYelloww @KesagariM బాగా చెప్పరు.  మీరు ఇప్పటికీ మిమ్మల్ని మీరు రక్షించుకుంటున్నారా?,@BleedYelloww @KesagariM well said. Are you still defending yourself?,@BleedYelloww @KesagariM బాగా చెప్పరు. ఇంకా సిగు లేకుందా defend చేసుకుంటున్నారు.
4931,50 మునుపటి ga 40 మరియు 20 @ ఉదయ్ మహర్షి మా ప్రాంతంలో ఉండేది.,50 previously 40 and 20 used to be there @Uday Maharshi in our area,@Uday Maharshi ma area లో 50 previous ga 40 and 20 ఉండెడి
4325,ధన్యవాదాలు అన్నా. గాలి సంపత్ రివ్యూ ప్లీజ్. .,Thank you bro. Gali Sampath review please. .,Thank you అన్నా . గాలి సంపత్ review please . .
1980,నువ్వు నా వాఖ్య చూడొద్దు,you don't see my comment, నువ్వు na comment చూడొద్దు
3390,అఖిలం అమరం ప్రేమ సినిమా రివ్యూ అన్న,Bro say Akhilam Amaram prema movie review bro,Bro అఖిలం అమరం prema movie review చెప్పు bro
1089,సోడి రివ్యూ అన్న నీది `` ఒరేయ్ బుజ్జిగా చాలా మంచి సినిమా నువ్వు . చాలా ఎంజాయ్ చేయవచ్చు ``,yours is a bad review bro `` Orey bujjiga very good movie u . can enjoy a lot ``,Sodi review bro nedi `` ఒరేయ్ బుజ్జిగా very good movie u . can enjoy a lot ``
2955,ధన్యవాదాలు అన్నా ప్రత్యుత్తరం ఇచ్చినందుకు 😀,Thanks bro for givign reply 😀,Thanks అన్నా REPLY ICCHINANDHUKU 😀
1566,అన్న మీరు ఎక్కడ నుండి వచ్చారు?,Bro where r u from ?,Bro ఎక్కడ r u from ?
3756,అమ్మోర్ తల్లిపై అన్న సమీక్ష. దయచేసి,Bro review on Ammoru Thalli. please,Bro review on అమ్మోరు తల్లి . please
1204,చివరి పోరులో ఎవరు గెలుస్తారు అన్నా?,"Bro, who will win in the last fight?",అన్నా ఇంతకీ ఎవరు గెలుస్తారు last fight లో
1671,సినిమా బాగుంది అన్నయ్య. కానీ ఏదో లేదు,Movie is good bro. but something missing,Movie బావుండీ bro . but something missing
2867,అతను ఆన్‌స్క్రీన్ స్మోకింగ్ సీన్స్‌కి మానేసి మాంచి పని చేసాడు,He did good thing by quitting of onscreen smoking scenes,Onscreen Smoking scenes మానేసి మాంచి పాణి చేసాడు
4874,అన్న కొంచెం తెలుగు చాలా ఇంగ్లీష్ ట్రై చేయండి,Bro try some Telugu too much English,Bro try some తెలుగు too much ఆంగ్ల
2936,@Raghwajumin నీ స్పార్క్ అప్ చాలా చెత్తగా ఉంది,@RGVzoomin your spark app is very bad,@RGVzoomin నీ SPARK app chaalaa చేతగా vundhi ...
1857,నా మహేష్ బాబు సినిమా హిట్ ఐనా ఇంత ఆనంద పడలేదు 😌 😌 జై రావన్నా,When my mahesh babu cinema hit also I didn't feel this happy 😌 😌 Jai Ravanna,మా mahesh babu cinema hit ఐనా ఇంత ఆనంద పడలేదు 😌 😌 జై రావన్న
2495,ఈ సినిమా కొరియన్ మూవీ ``నెవర్ సే డై`కి రీమేక్.,The movie is a remake of the Korean movie ``Never Say Die'',korean movie `` never say die `` remeke లా vundhi movie
502,"మీ నిజమైన సమీక్షకు ధన్యవాదాలు అన్న , నీ వీడియోస్‌లో మీరు మీ మనసులో ఒక విషయం పెట్టుకుని ఇతరులతో ఒక విషయం చెప్పారు, అడియానా నిజం గా చెప్తారు కాబట్టి  ప్లీజ్ అలాగే ఉండండి అన్న","Tq bro for u r genuine review, in your videos you don't put one thing in your mind and say one thing to the others, whatever it is you say genuinely so please  continue it bro","Tq bro for u r genuine review , nee videos లో నువ్వు మనసులో ఒకటి పెట్టుకొని బైటికి ఒకటి చెప్పావు అడియానా genuine gaa చెబ్తావ్ so plz ilagay continue చెయ్ bro "
796,ఒరేయ్ బుజ్జిగా 1 సగం నీట్ 2 హాఫ్ కామెడీ ఎంటర్‌టైనర్,Orey Bujjiga 1 half neat 2 half comedy entertainer,ఒరేయ్ బుజ్జిగా 1 half neat 2 half ccomedy entertainer
4689,మీ వాయిస్ ఒక పుస్తకంలా ఉంది కానీ సబ్‌స్క్రైబర్స్ ఫుల్ గా ఉన్నారు అన్న,Your voice is like a book but subscribers full ga unaaru nice bro,నీ voice పుస్తకం లా ఉండి but subscribers full ga unaaru nice bro
3006,నేను ఈ రోజు క్రాక్ మరియు రెడ్ చూశాను. Krack bgm + రవితేజ మాస్ యాక్టింగ్  కేక పుట్టింది 🔥 🔥,I saw krack and Red today. Krack bgm + Ravi Teja mass acting awesome 🔥 🔥,"ఇ రోజు krack , Red చూసా . Krack bgm + Ravi Teja mass acting కేక పుట్టింది 🔥 🔥 "
3430,@guptanagu8 మల్లి సిగ్గు లేకుండా ఆ పోలిక చూడు 👌 😂 😂,@guptanagu8 look at that comparison without shame 👌 😂 😂,@guptanagu8 మల్లి సిగ్గు లేకుండ aa comparision చుడు 👌 😂 😂
4092,@DealsDhamaka నాకు ప్రత్యుత్తరం ఇచ్చాడు ఎందుకంటే అతను నాకు బహుమతి పొందడానికి ,@DealsDhamaka He replied to me because he wanted to get a gift himself,@DealsDhamaka నాకు reply ఎందుకంటే ఇచ్చావ్ అన్న మరి gift దొబ్బెట్టడానికే ga
4396,@LoveonMBandRash @hackerking27 అతను సిగ్గుపడకుండా ఎలా మాట్లాడగలడు,@LoveonMBandRash @hackerking27 how can he talk without being shy,@LoveonMBandRash @hackerking27 వాడు చుడు సిగు లేకండా ఎలా talk చెస్తాడు
4416,@NaveenPolishety Movie చాల బాగుంది మీరు ఇలాంటి సినిమాలు మిరు చేయాలి,@NaveenPolishety Movie very good you should do more movies like this ,@NaveenPolishety Movie chaalaa బాగుండి అన్న ఇంకా ఇలాంటి movies చెయ్యాలి మిరు
4603,@lafaut_batch @mbamsaddevoti ఎండ్ కార్డ్‌ని వేసి మరియు మంచి పని చేసారు,@lafaut_batch @mbamsaddevoti Added an end card and did a good job,@Lafoot_Batch @MBMSDDEVOTEE End card వేసి మాంచి pani చేసాడు
4699,తిరిగి ఈ సమయానికి వెళ్తే అయితే హయ్యిగా మ్యాచ్ చూసుకోవాలి,"If the return is at this time, the match should be watched",Return ee time ki అయితే హయ్యిగా match చూసుకోవాలి
1208,మీ రివ్యూలు బాగున్నాయి బ్రదర్ మీ రివ్యూలు చూసి చాలా సినిమాలు చూశాను,Your reviews are good bro I watched many movies by seeing your reviews,నీ reviews భలే ఉంటుంది bro I watched many movies by seeing your reviews
3425,"ఊహించిన విధంగానే అన్న , సంతోష్ శ్రీనివాస్ వేస్ట్ డైరెక్టర్ , రొట్టా రొటీన్ కథలు","As expected bro , Santosh Srinivas waste director ,  routine stories","As expected bro , Santosh Srinivas waste director , రొట్టా routine stories "
2294,@hari teja నేను కథ మరియు దర్శకత్వం గురించి చెప్పాను,@hari teja I said about story and way of direction ,@hari teja నేన్ చెప్పింది story and way of direction గురించి
3929,@mugunth_08 @sunnyPkFanatic ఎలివేషన్ ఇచావ్ గా రజినీ తరువత అని కాబట్టి అజిత్ అభిమానులు కూడా అలాగే స్పందిస్తారు..,@mugunth_08 @sunnyPkFanatic You gave elevation saying after Rajini so obviously Ajith fans will also react the same..,@mugunth_08 @sunnyPkFanatic Elevation ఇచ్చావ్ gaa రజిని తరువాత అని so obviously Ajith fans కుడా same react అవుతారు ..
3315,ఎక్సలెంట్ మూవీ సూర్య మరియు హీరోయిన్ యాక్టింగ్ సూపర్ నేను ఈ సినిమా వరకు చూడండి. ముగింపు నేను షాక్ అయ్యాను. మరియు రాయడం మంచిది,Excellent movie surya and herohine acting super watch this movie till the end I 'm shock . and writing is a good,Exlent movie సూర్య and herohine acting super నేను watch this movie till the . End I 'm shock . and writing is a good
2210,గువ్వా గోరింక సమీక్ష మరియు బిగ్ బాస్ 4 సమీక్షలు,Guvva Gorinka review And Big boss 4 reviews,గువ్వ గోరింక review And Big boss 4 reviews
2061,అవునా 😆 😂 😂 నేను కూడా పోతా . రేపు సినిమా,really 😆 😂 😂 I will also go to the movie tomorrow,అవునా . 😆 😂 😂 నేను kudaa పోతా . రేపు movie ki
2087,@imPr4veen18 గత వారం మీ ట్వీట్ చూసిన తర్వాత సినిమా చూశాను చాలా బాగుంది 🥵,@imPr4veen18 last week after seeing you tweet I saw the movie it is very good 🥵,@imPr4veen18 last week nee twt చూసి mve చూసాను chaalaa బాగుండి 🥵
627,ఎక్కడైనా థియేటర్స్ ఓపెన్ అయ్యాయ అన్న 😨 ఎక్కడైనా అన్న 👍 👍,Did theaters open 😨 anywhere bro 👍 👍,Theaters open ayyaya 😨 ఎక్కడా bro 👍 👍
1680,"అన్న, నేను ఎవరితో సినిమా చూడాలి? 😅 😅","Bro, who should I watch the movie with? 😅 😅",ఇంతకీ movie ఎవరితో చూడాలి bro ? 😅 😅
4542,@cheeku4042 విలువైనది ... మొదటి 10 ఎపిసోడ్లు నేను దాటవేస్తానని అనుకున్నాను కానీ చాలా భాగ్ని ప్రతి ఎపిసోడ్ ఓకే టాస్క్ లా పూర్తి యాక్షన్,@cheeku4042 worth ... first 10 episodes I thought I would skip but very nice every episode is like task full action,@cheeku4042 worth ... first 10 episodes చూసి skip అనుకున but chaalaa భగ్ని every episode సరే task లా full action
2878,@nanimaheshian9 కానీ గని ప్రభుత్వానికి సిగ్గు లేకండా... రోజూ 5 వేల కేసులే  వేస్కుంటాది,@nanimaheshian9 But the mine government has no shame... it files only 5000 cases daily,@nanimaheshian9 అయినా గని govt సిగ్గూ లేకండా ... 5k cases ee వేస్కుంటాది daily
3499,ప్రభుత్వ ఉద్యోగం మరియు ఆస్తులు చూసి ఇచ్చే వారు సంకర గాడిద,who look at Govt job properties and give are useless fellows,Govt job properties చూసి iche వారు శంకర గాడిధ
4160,@TechFactsRafee MOLIFE SENSE 500 చాల బాగుంది అన్న నేను ఈ నెలలో కొనాలని ప్లాన్ చేస్తున్నాను,@TechFactsRafee MOLIFE SENSE 500 very good bro I'm planning to buy this month,@TechFactsRafee MOLIFE SENSE 500 chaalaa బాగుండి bro I 'm planning to buy this month
4207,"అన్న, 2 గంటల గ్యాప్‌లో 2 గంటల వ్యవధి ఉన్నప్పటికీ, 2 సినిమాల సమీక్షలు చెప్పావు."," Bro, Even if there is 2 hours duration in 2 hours gap, 2 movies reviews were told.", అన్న 2 hours gap లో 2 hours duration ఉన్నా 2 movies reviews చాపావ్ .
65,పాటలు వినగానే సినిమా అస్సాం అని తెలిసింది,"When I heard the songs, I knew that the movie was Assam",Songs విన్నప్పుడే movie అస్సాం అని తెలిసిపోయింది ga
1271,అన్న తెలుగులో చేస్తారు ఇప్పుడు విడుదల చస్తరు అన్న,Bro when wil they release in  telugu  bro,Bro తెలుగు లో యప్పుడు release చస్తరు bro
1414,దేంట్లో విడుదలైంది సోదరా. OTT ఆ,where has it been released bro. OTT?,దేంట్లో release అయింది bro . OTT aa
1519,అన్నా మాస్టర్ రివ్యూ ఫాస్ట్ గ్రా చెప్పండి అన్నా,Bro tell master review fast Bro,అన్నా master review Fast g చెప్పు అన్నా
1762,అన్న విశాల్ సినిమా బ్రేక్ డౌన్ వీడియో,Anna do Vishal movie break down video,అన్నా vishal movie break down video cheyandi
3230,సూపర్ సినిమా సమీక్ష చెప్పడం రాదు,Super movie he can't say review ,Super movie review చెప్పడం రాదు 
4780,ఈరోజు సమీక్ష చాలా చౌకగా లేదు అన్న,Today's review is not very cheap bro,ఇ రోజు review బాగా చౌకగా లేదు bro
1743,@pennabadvel vlogs సినిమాలో విలన్ కాదు అన్న కానీ రిచర్డ్ డికెన్స్ క్యారెక్టర్ అన్నింటికంటే నెగటివ్,@pennabadvel vlogs there is no villain in the movie bro but richard dickens character is more negative than anything else,@pennabadvel vlogs సినిమాలో villain ఎవరు కాదు bro కాని richard dickens character అన్నిటికంటె కొంచం negative అంతె
3883,అన్న రాబర్ట్ సినిమా రివ్యూ అప్‌లోడ్ చేయి అన్న,Bro upload Robert movie review upload bro,Bro Robbert movie review upload చెయ్ bro
785,@PriyaTarakian99 Vgm  హఠాత్తుగా ఇంత ప్రమోషన్ ఎందుకు ఇచ్చారు🙊 😂,@PriyaTarakian99 Why did you suddently give so much of promotion 🙊 😂,@PriyaTarakian99 Vgm Sudden ga అంత promotion ఎందుకంటే ఇచ్చావ్ 🙊 😂
4552,"అన్న, నాకు ఒక మంచి ఆర్ట్ ఫిల్మ్ చూడాలని అనిపించింది కానీ పరిపూర్ణమైన భావోద్వేగాలతో. మేము మిమ్మల్ని SSR కోల్పోతాము. .","Bro, I felt like watching a good Art film but with perfect emotions. We will miss you SSR. .",ఓకా మాంచి Art film but with perfect emotions చూసినట్టు అనిపించింది bro . we will miss u SSR . .
287,"@kARTthik_13 మీరు హైప్ ఇస్తున్నారని నేను చూశాను, నేను రెండు చార్ట్‌లకు భయపడుతున్నాను, ముఖ్యంగా టెల్ నైస్ కన్సాలిడేషన్ 👌","@kARTthik_13 I saw that you are giving hype, I am afraid of both charts especially Tel nice consolidation 👌",@kARTthik_13 Hype ఇస్తునవు అని కని రెండు charts చాల భగుండి especially Tel nice consolidation 👌
1648,అన్న బెస్ట్ ఆఫ్ దళపతి విజయ్ పెట్టావా. ప్లీజ్ 🔥 🔥,Bro keep best of Thalapathy Vijay please 🔥 🔥,అన్నా best of Thalapathy Vijay పెట్టావా please 🔥 🔥
3810,@flamingo1712_ దయచేసి సంకోచం లేకుండా నన్ను అనుసరించండి 🤗 🏃🏻 🏃🏻 🏃🏻,@flamingo1712_ Asking shamelessly to please follow me 🤗 🏃🏻 🏃🏻 🏃🏻,@flamingo1712_ సిగ్గూ శరం లేకండా అడుగుతూనా నను follow అవాచుగా 🤗 🏃🏻 🏃🏻 🏃🏻
4564,శుభోదయం 🌄 దృశ్యం చాలా బావుంది కదా 🙈 😜 ,Good morning 🌄 View is very good  🙈 😜,Good morning 🌄 View chaalaa బాగుండి kdha 🙈 😜
1223,తెలుగులో బెస్ట్ లా పరిశోధనలు ప్లీజ్ అన్న,Best Law investigations in Telugu pls bro,Best Law investigations in తెలుగు pls అన్న
1487,అన్న  రివ్యూ ప్రారంభంలోనే షాక్ అవ్వకండి,Bro Please don't be shocked at the beginning of review,అన్నా  review మొదటికే షాక్ అవ్వకండి please
3465,"@SrihariG_7 అన్న మీరు ఒకరి అని ప్రత్యుత్తరం ఇచ్చారు, అతను ఏమి చెప్పాడు? ? ? ?","@SrihariG_7 Bro you replied exactly to one person, what did he say? ? ? ?",@SrihariG_7 Bro నువ్వు ఒకడి exactly అని reply ఇచ్చావ్ gaa ఆడు ఏనన్నాడు ? ? ? ?
3703,"@imRishi_Dhfm మాకు ఇక్కడ అంత ఎక్కువ లేదు అన్న, డిస్టర్బ్ చేసే ట్రోల్స్ సిస్టమ్ లేదు","@imRishi_Dhfm We don't have that much here bro, we don't have trolls system to disturb",@imRishi_Dhfm బొక్కలే మనకి అంత లేడు ఉర్కనే ఇక్కడ అన్నదారికి trolls ఇస్టమ్ లేవు disturb చెయ్యడం ందుకు అని అంతె
2737,చాలు ఇక చాలు ఎలిపోవాల్సిందే సినిమా కి ఇంకా,"Enough is enough, we have to leave for the movie",చాలు ఇక చాలు ఎలిపోవాల్సిందే movie ki ఇంకా
1175,ఉదయం నుండి ee వీడియో కోసం ఎదురు చూస్తున్నాను,I have been waiting for the ee video since morning,ఇవ్వాళ morning నుంచీ ee video కోసం waiting అన్న
3103,థమన్ కుమ్మవ్వ గా తిక్క పాటలు సూపర్ 👍 👌,Thaman super tikka songs super 👍 👌,Thaman కుమ్మవ్వ gaa టిక్కా songs super 👍 👌
1143,"@KEERTHYfan79MRV @sekhar_rcfanboy ఏంటి , చాలా వేగంగా ప్రత్యుత్తరం ఇస్తున్నావ్, మీరు ఈ రోజు ఇక్కడే ఉంటారా,  మాస్ అన్న?","@KEERTHYfan79MRV @sekhar_rcfanboy What, so fast reply, so will you be here for the day bro?",@KEERTHYfan79MRV @sekhar_rcfanboy అంధీ అన్న ఇంత fast GA reply ఇచ్చావ్ ఇక్కడ ఉంటావా రోజు అంత mass అన్న
3239,@ZaraAnjum9999 మాస్ వార్నింగ్ ఇచ్చావ్ మేడమ్ కి 😒 నువ్వు,@ZaraAnjum9999 you gave serious warning to madam 😒 ,@ZaraAnjum9999 Mass warning ఇచ్చావ్ gaa మేడమ్ 😒 నువ్వు
903,మాకు సాయి అన్న వాయిస్ రివ్యూ కావాలి 😩 😩,We want sai bro voice review 😩 😩,We want sai అన్నా voice review 😩 😩
1201,దయచేసి శకుంతలా దేవిపై సమీక్ష వీడియో చేయండి,Please make a review video on Shakuntala Devi,Please make a review video on శకుంతల దేవి
3673,@maheshblood మోతానికి ఆదివారం హ్యాండ్ ఇచ్చావ్ గా,@maheshblood Finally you gave me hand on sunday,@maheshblood మోతానికి sunday hand ఇచ్చావ్ ga
4087,@eezapro హాహా మంచి పానీ శాంతి ఉండదు,"@eezapro haha good work, ​​there will be no peace",@eezapro haha మాంచి పాణి peace ఉండదు
2036,అన్నా తడమ్ మరియు రెడ్ మేడ డూ వీడియో అన్న,bro do a video on tadam and red bro,అన్నా తాడం and red మేడ video చెయ్యండి bro
1220,"క్షమించండి సోదరా. నేను అంగీకరిస్తున్నాను, ఈ వీడియో కొంచెం ఆంగ్లంలో ఉంది. తదుపరి వీడియో నుండి ఆంగ్లం తక్కువ ఉండేలా చూసుకోండి","Sorry bro. I agree, Ee video is a bit too English.  next video see that English is less","Sorry bro . I agree , Ee video కొంచెం ఆంగ్ల ఎక్కువ అయ్యింది . Next video నుండి ఆంగ్ల ఠక్కువ వుండేలా choosthap "
1589,@Aug92021 హహ అదే గా... ఎంత చిల్లర్ గా ఉన్నా తదుపరి ఎపిసోడ్ కి ఎదురు చూస్తారు,@Aug92021 Haha same right ... no matter how bad we will wait for next episode,@Aug92021 Haha అదే gaa ... ఎంతా chillar ga ఉన్నా next episode ki wait చెస్తారో
3356,కన్నడిగ వీక్షకులను గౌరవించినందుకు ధన్యవాదాలు. .,Thank you for respecting Kannadiga Viewer's. .,Thank you for respecting కన్నడిగ Viewer 's . .
4247,ఏంది భయ్యా నువ్వు. ఎక్కడా లేని ఆంగ్లం మోతం వాడేస్తునావురా? మాకు అర్ధం అవ్వలా వద్దా?,What bro you.  you  are using all English. Do we have to understand?,Endhi భయ్యా నువ్వు . ఎక్కడా leni English మోతం వాడేస్తునావు . మాకూ అర్ధము అవ్వల వధ ?
19, @SangepuRamya @PawanKalyan శుభ రాత్రి చెప్పిన ఒక గంట తర్వాత ప్రత్యుత్తరం ఇచ్చావ్ నువ్వు నిజమా గా గొప్ప దానివి అక్క,"@SangepuRamya @PawanKalyan replied one hour after saying good night, you are really great sister",@SangepuRamya @PawanKalyan Good Night చెప్పిన one hour తరువత reply ఇచ్చవ్ చుడు నువ్వు నిజాం ga great అక్క
4978,మాస్టర్ రివ్యూ అన్న 🔥 🔥 నేను సూపర్ హిట్ అంటున్నాను కానీ నాకు మీ రివ్యూ కావాలి,Keep master review bro 🔥 🔥 I say super hit but i want your review,Master review పెటాండి bro 🔥 🔥 నేన్ చెప్తున్నా super hit but i want your review
1500,చివరిగా అన్నలో thyview రేటింగ్ కూడా ఇవ్వండి,Also give thyview rating in Bro last bro,Bro last లో thyview rating కుడా ఇవ్వండి bro
3805,ఇప్పటికే ఉదయం పోస్ట్ చేసారు గా మల్లి మరోసారి ఎందుకు,Already posted in the morning but why again ,Already morning post చేసారు ga మల్లి ఇంకోసారి ఎందుకు
331,మద్ వదలారా 1 హాఫ్ కామెడీ ఎంటర్టైనర్ 2 సగం థ్రిల్లర్ ఎంటర్టైనర్ మొత్తం సినిమా అత్యద్భుతంగా ఉంది,Mathu vadalaraa 1 half comedy entertainer 2 half thriller entertainer overall film was outstanding,మత్తు వదలర 1 half comedy entertainer 2 half thriller entertainer overall film was outstanding
2666,@Mahesh_Fan_Girl అయినా నువ్వేపుడో కన్ఫర్మేషన్ ఇచ్చావ్  గా కౌటిల్య 🔥,@Mahesh_Fan_Girl but you gave confirmation ga kautilya 🔥,@Mahesh_Fan_Girl అయినా నువ్వేపుడో confirmation ఇచ్చావ్ ga kautilya 🔥
1638,@నెంచెప్పన్పో 😚 😚 😚 మంచి పని తదుపరిసారి రిపోర్ట్ చేసి బ్లాక్ చేయి,@nencheppanpo 😚 😚 😚 good job next time report and block,@nencheppanpo 😚 😚 😚 మాంచి పాణి next time report and block
1141,చాలు అన్నయ్యా. కటింగ్ సీన్ అస్సలు లేదు,Enough bro. There is no cutting scene at all,చాలు అపు bro . అస్సలు cutting scene ఉండ లేడ
2015,అన్న ఆ రైలు సీన్ చాలా చెత్తగా ఉంది మరియు  ఓవరాక్షన్ అసలు,Bro that train scene is worst and overaction ,Bro aa train scene ఐతే worst and overaction అసలు
2431,ఓకే ఒక్క రాడ్ ఈ శశి ఒక్కసారి కి మాత్రమే #fassak,only one Rod this Shashi Only once #fassak,Oke ఒక్క Rod ee శశి Only once #fassak
4486,చల బాగుంది టీజర్ కట్ @aliyaan08 perfect #gangubaikthiaavadityaser,very nice teaser cut @aliyaan08 perfect #gangubaikthiaavadityaser,చాల భగ్ని teaser cut @aliaa08 perfect #GangubaiKathiawadiTeaser
